PGSUS.IS,Pegasus Hava Tasimaciligi Anonim Sirketi,82259427328,Turkey,N/A,Industrials,Airlines
PRKME.IS,Park Elektrik Üretim Madencilik Sanayi ve Ticaret A.S.,4373712384,Turkey,N/A,Energy,Thermal Coal
SAHOL.IS,Haci Ömer Sabanci Holding A.S.,118127878144,Turkey,N/A,Financial Services,Banks - Regional
SASA.IS,Sasa Polyester Sanayi A.S.,248925405184,Turkey,N/A,Consumer Cyclical,Textile Manufacturing
SISE.IS,Türkiye Sise Ve Cam Fabrikalari A.S.,167863910400,Turkey,N/A,Basic Materials,Specialty Chemicals
SKBNK.IS,Sekerbank T.A.S.,12964199424,Turkey,N/A,Financial Services,Banks - Regional
SNGYO.IS,Sinpas Gayrimenkul Yatirim Ortakligi A.S.,5642558976,Turkey,N/A,Real Estate,REIT - Residential
TATGD.IS,Tat Gida Sanayi A.S.,5491680256,Turkey,N/A,Consumer Defensive,Packaged Foods
TAVHL.IS,TAV Havalimanlari Holding A.S.,49260904448,Turkey,N/A,Industrials,Airports & Air Services
TCELL.IS,Turkcell Iletisim Hizmetleri A.S.,121216204800,Turkey,N/A,Communication Services,Telecom Services
THYAO.IS,Türk Hava Yollari Anonim Ortakligi,333269991424,Turkey,N/A,Industrials,Airlines
TKFEN.IS,Tekfen Holding Anonim Sirketi,19979999232,Turkey,N/A,Industrials,Engineering & Construction
TKNSA.IS,Teknosa Iç ve Dis Ticaret Anonim Sirketi,5571719680,Turkey,N/A,Consumer Cyclical,Specialty Retail
TLMAN.IS,Trabzon Liman Isletmeciligi Anonim Sirketi,1879500032,Turkey,N/A,Industrials,Marine Shipping
TMSN.IS,Tümosan Motor ve Traktör Sanayi A.S.,12419999744,Turkey,N/A,Industrials,Farm & Heavy Construction Machinery
TOASO.IS,Tofas Türk Otomobil Fabrikasi Anonim Sirketi,143550005248,Turkey,N/A,Consumer Cyclical,Auto Manufacturers
TRCAS.IS,Turcas Petrol A.S.,7335382016,Turkey,N/A,Utilities,Utilities - Independent Power Producers
TSKB.IS,Türkiye Sinai Kalkinma Bankasi A.S.,23715999744,Turkey,N/A,Financial Services,Banks - Regional
TTKOM.IS,Türk Telekomünikasyon Anonim Sirketi,82109997056,Turkey,N/A,Communication Services,Telecom Services
TTRAK.IS,Türk Traktör ve Ziraat Makineleri A.S.,88759427072,Turkey,N/A,Industrials,Farm & Heavy Construction Machinery
TUPRS.IS,Türkiye Petrol Rafinerileri A.S.,291139485696,Turkey,N/A,Energy,Oil & Gas Refining & Marketing
ULKER.IS,Ülker Bisküvi Sanayi A.S.,34785796096,Turkey,N/A,Consumer Defensive,Confectioners
VAKBN.IS,Türkiye Vakiflar Bankasi Türk Anonim Ortakligi,159348834304,Turkey,N/A,Financial Services,Banks - Regional
VESTL.IS,Vestel Elektronik Sanayi ve Ticaret Anonim Sirketi,23481919488,Turkey,N/A,Technology,Consumer Electronics
VKGYO.IS,Vakif Gayrimenkul Yatirim Ortakligi AS,7569408512,Turkey,N/A,Real Estate,REIT - Diversified
YATAS.IS,Yatas Yatak ve Yorgan Sanayi ve Ticaret A.S.,5689366016,Turkey,N/A,Consumer Cyclical,Furnishings, Fixtures & Appliances
YKBNK.IS,Yapi ve Kredi Bankasi A.S.,160493961216,Turkey,N/A,Financial Services,Banks - Regional
ZOREN.IS,Zorlu Enerji Elektrik Üretim A.S.,34900000768,Turkey,N/A,Utilities,Utilities - Diversified
